 Bins    Order     Time    Rows    Missing    Missing %  Scheme        RMSE
   165        3  27.9968  122646       7381        6.018  RAND      10.3965
   170        3  27.1813  122646       7830        6.384  RAND      10.4021
    90        7  22.444   122642      79052       64.458  RAND      10.4023
    85        6  23.2352  122643      53558       43.67   RAND      10.4135
    95        3  26.2921  122646       1919        1.565  MEDIAN    10.4192
   100        4  25.1978  122645      14604       11.908  RAND      10.4204
    60        4  27.6454  122645       4906        4      MEAN      10.4228
    80        3  29.5238  122646       1265        1.031  MEAN      10.4236
   100        3  29.0788  122646       2151        1.754  MEDIAN    10.4283
    80        5  24.5416  122644      24454       19.939  RAND      10.4336
   155        3  27.6132  122646       6359        5.185  RAND      10.4351
    95        4  26.8872  122645      13399       10.925  RAND      10.4404
   180        2  25.659   122647        328        0.267  LAST      10.4439
    85        5  26.2681  122644      27572       22.481  RAND      10.446
   185        2  29.868   122647        354        0.289  LAST      10.4477
    85        3  28.7273  122646       1435        1.17   MEAN      10.4522
   160        2  26.1718  122647        289        0.236  LAST      10.4553
   150        3  25.1056  122646       5918        4.825  RAND      10.4603
    90        3  28.0427  122646       1619        1.32   MEDIAN    10.4609
    35        7  31.9302  122642      18502       15.086  MEDIAN    10.4707
    80        7  21.721   122642      71066       57.946  RAND      10.4713
    60        4  32.162   122645       4906        4      MEDIAN    10.475
    75        3  28.1864  122646       1044        0.851  MEAN      10.4866
    80        6  22.6438  122643      47880       39.04   RAND      10.4895
   170        2  25.7805  122647        315        0.257  LAST      10.4897
    85        3  29.5034  122646       1435        1.17   MEDIAN    10.4927
   195        2  29.4727  122647        391        0.319  LAST      10.4959
   135        3  25.2373  122646       4696        3.829  RAND      10.4984
   190        2  28.2115  122647        374        0.305  LAST      10.5004
    75        5  26.5681  122644      22355       18.228  RAND      10.5041
   145        3  28.2422  122646       5538        4.515  RAND      10.5059
    70        3  30.5616  122646        891        0.726  MEDIAN    10.5078
   165        2  30.4056  122647        302        0.246  LAST      10.5089
    80        3  26.5814  122646       1265        1.031  MEDIAN    10.5109
   190        2  28.613   122647        374        0.305  MEAN      10.5118
   175        2  31.1874  122647        318        0.259  LAST      10.5129
   140        3  25.3735  122646       5042        4.111  RAND      10.5171
   130        3  27.2985  122646       4286        3.495  RAND      10.5217
   195        2  26.7865  122647        391        0.319  MEDIAN    10.5251
   130        2  28.0531  122647        239        0.195  LAST      10.5263
    90        4  25.9616  122645      12277       10.01   RAND      10.5284
    70        3  28.8571  122646        891        0.726  MEAN      10.531
   195        2  28.8982  122647        391        0.319  MEAN      10.5362
   175        2  26.0895  122647        318        0.259  MEAN      10.5379
   170        2  28.7557  122647        315        0.257  MEDIAN    10.5381
   150        2  29.5233  122647        256        0.209  LAST      10.5387
    45        5  28.6904  122644       8739        7.126  MEDIAN    10.54
   140        2  29.1326  122647        248        0.202  LAST      10.5431
    75        3  28.0637  122646       1044        0.851  MEDIAN    10.5454
   135        2  26.7363  122647        240        0.196  LAST      10.5478
   190        2  27.9683  122647        374        0.305  MEDIAN    10.5499
   135        2  28.8438  122647        240        0.196  MEDIAN    10.5509
   130        2  27.3372  122647        239        0.195  MEDIAN    10.5551
    75        6  24.3306  122643      43486       35.457  RAND      10.5553
   185        2  27.1545  122647        354        0.289  MEAN      10.5615
   165        2  28.1296  122647        302        0.246  MEDIAN    10.5616
   145        2  28.5002  122647        254        0.207  MEAN      10.5625
   185        2  31.3272  122647        354        0.289  MEDIAN    10.564
   145        2  28.0418  122647        254        0.207  LAST      10.5652
